YYYYMMDD,YYYY.DECM,N(m),E(m),U(m),sig_n(mm),sig_e(mm),sig_u(mm)
2010-12-02,2010.9192,6.2,-407.9,-2.8,1.8,1.7,5.8
2010-12-03,2010.9219,5.8,-409.4,-1.5,1.8,1.7,5.8
2010-12-04,2010.9247,6.6,-410.1,-6.9,1.8,1.7,5.9
2010-12-05,2010.9274,7.2,-408.2,-13.0,1.8,1.7,5.8
2010-12-06,2010.9301,6.0,-408.5,-11.1,1.8,1.7,5.8
2010-12-07,2010.9329,6.7,-408.3,-7.8,1.9,1.9,6.2
2010-12-08,2010.9356,6.1,-408.4,-6.7,1.7,1.6,5.6
2010-12-09,2010.9384,6.7,-407.4,-3.6,1.8,1.7,5.9
2010-12-10,2010.9411,6.3,-406.5,-5.1,1.9,1.9,6.3
2010-12-11,2010.9438,6.9,-406.4,-1.7,1.8,1.8,6.1
2010-12-12,2010.9466,7.6,-407.4,-12.4,1.9,1.8,6.2
2010-12-13,2010.9493,7.7,-406.5,-12.3,1.9,1.8,6.2
2010-12-14,2010.9521,7.0,-406.0,-16.5,1.9,1.8,6.0
2010-12-15,2010.9548,6.5,-406.5,-10.0,1.8,1.7,5.8
2010-12-16,2010.9575,5.7,-406.9,-3.1,1.9,1.8,6.0
2010-12-17,2010.9603,6.7,-407.5,-3.5,1.9,1.8,6.2
2010-12-18,2010.963,7.2,-406.6,-7.5,1.8,1.7,5.8
2010-12-19,2010.9658,5.8,-407.3,-7.9,1.8,1.8,6.0
2010-12-20,2010.9685,7.0,-407.3,-7.3,1.9,1.9,6.1
2010-12-21,2010.9712,6.5,-406.6,-7.4,1.8,1.7,5.8
2010-12-22,2010.974,6.9,-405.4,-7.2,1.8,1.7,5.8
2010-12-23,2010.9767,6.1,-405.8,-8.6,1.8,1.7,5.9
2010-12-24,2010.9795,6.6,-406.5,-12.9,1.8,1.7,5.8
2010-12-25,2010.9822,6.2,-406.2,-8.3,1.8,1.8,6.0
2010-12-26,2010.9849,7.0,-407.4,-10.1,1.8,1.7,5.9
2010-12-27,2010.9877,7.0,-406.9,-9.7,1.9,1.8,6.2
2010-12-28,2010.9904,7.3,-406.5,-10.7,1.9,1.9,6.2
2010-12-29,2010.9932,7.2,-405.2,-12.9,1.9,1.9,6.2
2010-12-30,2010.9959,6.5,-405.9,-10.6,1.8,1.7,5.9
2010-12-31,2010.9986,7.9,-405.5,-7.8,2.0,1.9,6.2
2011-01-01,2011.0014,6.2,-405.7,-9.1,1.9,1.7,6.0
2011-01-02,2011.0041,6.7,-406.0,-11.9,1.8,1.7,5.8
2011-01-03,2011.0068,6.9,-406.1,-14.9,1.8,1.7,5.8
2011-01-04,2011.0096,7.2,-405.3,-17.8,1.9,1.8,6.2
2011-01-05,2011.0123,6.8,-406.1,-16.9,1.8,1.7,5.7
2011-01-06,2011.0151,6.2,-407.3,-13.1,2.0,1.9,6.3
2011-01-07,2011.0178,6.6,-406.1,-17.8,2.2,2.0,7.6
2011-01-08,2011.0205,7.0,-405.1,-17.8,1.8,1.7,5.9
2011-01-09,2011.0233,5.4,-406.4,-14.2,1.8,1.7,5.8
2011-01-10,2011.026,5.9,-405.4,-10.5,1.9,1.8,6.0
2011-01-11,2011.0288,5.4,-405.0,-7.8,1.9,1.8,6.1
